date,currency,instrument,expiry,strike,type,open_interest,mark_iv,underlying_usd
2026-08-18,BTC,BTC-25DEC26-120000-P,25DEC26,120000,put,35.6,44.63,65471.54
2026-08-18,BTC,BTC-25DEC26-125000-C,25DEC26,125000,call,595.4,45.72,65471.54
2026-08-18,BTC,BTC-25DEC26-125000-P,25DEC26,125000,put,9.1,45.72,65471.54
2026-08-18,BTC,BTC-25DEC26-130000-C,25DEC26,130000,call,1584.1,46.71,65471.54
2026-08-18,BTC,BTC-25DEC26-130000-P,25DEC26,130000,put,54.9,46.71,65471.54
2026-08-18,BTC,BTC-25DEC26-135000-C,25DEC26,135000,call,1113.9,48.03,65471.54
2026-08-18,BTC,BTC-25DEC26-135000-P,25DEC26,135000,put,0.6,48.03,65471.54
2026-08-18,BTC,BTC-25DEC26-140000-P,25DEC26,140000,put,0.2,49.27,65471.54
2026-08-18,BTC,BTC-25DEC26-140000-C,25DEC26,140000,call,1477.6,49.27,65471.4
2026-08-18,BTC,BTC-25DEC26-150000-C,25DEC26,150000,call,1627.9,51.68,65471.54
2026-08-18,BTC,BTC-25DEC26-150000-P,25DEC26,150000,put,2,51.68,65471.4
2026-08-18,BTC,BTC-25DEC26-160000-C,25DEC26,160000,call,1223,53.99,65471.54
2026-08-18,BTC,BTC-25DEC26-160000-P,25DEC26,160000,put,0,53.99,65471.54
2026-08-18,BTC,BTC-25DEC26-170000-P,25DEC26,170000,put,0,55.97,65471.54
2026-08-18,BTC,BTC-25DEC26-170000-C,25DEC26,170000,call,2379.5,55.97,65471.4
2026-08-18,BTC,BTC-25DEC26-180000-P,25DEC26,180000,put,0,56.65,65471.4
2026-08-18,BTC,BTC-25DEC26-180000-C,25DEC26,180000,call,923.8,56.65,65471.54
2026-08-18,BTC,BTC-25DEC26-190000-P,25DEC26,190000,put,0,58.46,65471.54
2026-08-18,BTC,BTC-25DEC26-190000-C,25DEC26,190000,call,993,58.46,65471.54
2026-08-18,BTC,BTC-25DEC26-200000-P,25DEC26,200000,put,0,60.4,65471.4
2026-08-18,BTC,BTC-25DEC26-200000-C,25DEC26,200000,call,958.9,60.4,65471.4
2026-08-18,BTC,BTC-25DEC26-210000-C,25DEC26,210000,call,151.7,61.42,65471.54
2026-08-18,BTC,BTC-25DEC26-210000-P,25DEC26,210000,put,0,61.42,65471.4
