date,symbol,us_close_usd,global_close_usd,premium_pct,source
2020-07-27,ETH,322.24,321.93,0.0963,bykaranteli.com
2020-07-28,BTC,10934.23,10906.27,0.2564,bykaranteli.com
2020-07-28,ETH,317.59,316.77,0.2589,bykaranteli.com
2020-07-29,BTC,11110.12,11100.53,0.0864,bykaranteli.com
2020-07-29,ETH,318.16,317.71,0.1416,bykaranteli.com
2020-07-30,BTC,11115.95,11099.61,0.1472,bykaranteli.com
2020-07-30,ETH,335.31,334.87,0.1314,bykaranteli.com
2020-07-31,BTC,11351.62,11335.46,0.1426,bykaranteli.com
2020-07-31,ETH,346.86,346.33,0.153,bykaranteli.com
2020-08-01,BTC,11810.07,11801.17,0.0754,bykaranteli.com
2020-08-01,ETH,387.4,387,0.1034,bykaranteli.com
2020-08-02,BTC,11068.54,11071.35,-0.0254,bykaranteli.com
2020-08-02,ETH,372.21,372.42,-0.0564,bykaranteli.com
2020-08-03,BTC,11233.13,11219.81,0.1187,bykaranteli.com
2020-08-03,ETH,386.22,385.94,0.0726,bykaranteli.com
2020-08-04,BTC,11197.04,11191.97,0.0453,bykaranteli.com
2020-08-04,ETH,389.82,389.61,0.0539,bykaranteli.com
2020-08-05,BTC,11756.75,11744.91,0.1008,bykaranteli.com
2020-08-05,ETH,401.21,400.72,0.1223,bykaranteli.com
2020-08-06,BTC,11773.89,11762.46,0.0972,bykaranteli.com
2020-08-06,ETH,395.28,394.77,0.1292,bykaranteli.com
2020-08-07,BTC,11606.52,11594.23,0.106,bykaranteli.com
2020-08-07,ETH,379.75,379.34,0.1081,bykaranteli.com
2020-08-08,BTC,11774.98,11761.41,0.1154,bykaranteli.com
2020-08-08,ETH,397.51,397.03,0.1209,bykaranteli.com
2020-08-09,BTC,11688.48,11681.68,0.0582,bykaranteli.com
2020-08-09,ETH,390.41,390.14,0.0692,bykaranteli.com
2020-08-10,BTC,11899.73,11892.92,0.0573,bykaranteli.com
2020-08-10,ETH,395.78,395.44,0.086,bykaranteli.com
2020-08-11,BTC,11388.53,11392.08,-0.0312,bykaranteli.com
2020-08-11,ETH,378.88,379,-0.0317,bykaranteli.com
2020-08-12,BTC,11566.45,11564.33,0.0183,bykaranteli.com
2020-08-12,ETH,387.27,387.18,0.0232,bykaranteli.com
2020-08-13,BTC,11795.95,11780,0.1354,bykaranteli.com
2020-08-13,ETH,424.94,424.54,0.0942,bykaranteli.com
2020-08-14,BTC,11779,11760.54,0.157,bykaranteli.com
2020-08-14,ETH,438.83,438.11,0.1643,bykaranteli.com
2020-08-15,BTC,11859.24,11852.4,0.0577,bykaranteli.com
2020-08-15,ETH,432.55,432.32,0.0532,bykaranteli.com
2020-08-16,BTC,11918.84,11911,0.0658,bykaranteli.com
2020-08-16,ETH,433.7,433.62,0.0184,bykaranteli.com
2020-08-17,BTC,12304.26,12281.13,0.1883,bykaranteli.com
2020-08-17,ETH,431.5,430.89,0.1416,bykaranteli.com
2020-08-18,BTC,11950,11945.01,0.0418,bykaranteli.com
2020-08-18,ETH,422.31,421.95,0.0853,bykaranteli.com
2020-08-19,BTC,11758.87,11754.59,0.0364,bykaranteli.com
2020-08-19,ETH,407.59,407.46,0.0319,bykaranteli.com
2020-08-20,BTC,11864.26,11853.55,0.0904,bykaranteli.com
2020-08-20,ETH,415.92,415.94,-0.0048,bykaranteli.com
2020-08-21,BTC,11529.22,11531.34,-0.0184,bykaranteli.com
2020-08-21,ETH,388.05,387.97,0.0206,bykaranteli.com
2020-08-22,BTC,11672.93,11662.96,0.0855,bykaranteli.com
2020-08-22,ETH,395.62,395.24,0.0961,bykaranteli.com
2020-08-23,BTC,11650.01,11648.13,0.0161,bykaranteli.com
2020-08-23,ETH,390.9,390.71,0.0486,bykaranteli.com
2020-08-24,BTC,11753.85,11748.2,0.0481,bykaranteli.com
2020-08-24,ETH,407.76,407.68,0.0196,bykaranteli.com
2020-08-25,BTC,11324.92,11318.42,0.0574,bykaranteli.com
2020-08-25,ETH,383.33,382.93,0.1045,bykaranteli.com
2020-08-26,BTC,11463.27,11461.43,0.0161,bykaranteli.com
2020-08-26,ETH,386.1,385.81,0.0752,bykaranteli.com
2020-08-27,BTC,11330.06,11330.38,-0.0028,bykaranteli.com
2020-08-27,ETH,383.25,383.27,-0.0052,bykaranteli.com
2020-08-28,BTC,11535,11526.91,0.0702,bykaranteli.com
2020-08-28,ETH,395.47,395.11,0.0911,bykaranteli.com
2020-08-29,BTC,11474.31,11465.84,0.0739,bykaranteli.com
2020-08-29,ETH,398.58,398.65,-0.0176,bykaranteli.com
2020-08-30,BTC,11716.01,11711.16,0.0414,bykaranteli.com
2020-08-30,ETH,428.94,428.94,0,bykaranteli.com
2020-08-31,BTC,11655,11649.51,0.0471,bykaranteli.com
2020-08-31,ETH,433.89,433.79,0.0231,bykaranteli.com
2020-09-01,BTC,11924.22,11921.97,0.0189,bykaranteli.com
2020-09-01,ETH,475.57,475.4,0.0358,bykaranteli.com
2020-09-02,BTC,11395.48,11388.54,0.0609,bykaranteli.com
2020-09-02,ETH,440.02,439.5,0.1183,bykaranteli.com
2020-09-03,BTC,10172.52,10140.85,0.3123,bykaranteli.com
2020-09-03,ETH,382.87,381.4,0.3854,bykaranteli.com
2020-09-04,BTC,10500.05,10446.25,0.515,bykaranteli.com
2020-09-04,ETH,388.96,385.26,0.9604,bykaranteli.com
2020-09-05,BTC,10168.36,10166.69,0.0164,bykaranteli.com
2020-09-05,ETH,335.25,335.01,0.0716,bykaranteli.com
2020-09-06,BTC,10257.86,10256.2,0.0162,bykaranteli.com
2020-09-06,ETH,352.77,352.8,-0.0085,bykaranteli.com
2020-09-07,BTC,10375,10373.44,0.015,bykaranteli.com
2020-09-07,ETH,353.71,353.59,0.0339,bykaranteli.com
2020-09-08,BTC,10125.69,10126.65,-0.0095,bykaranteli.com
2020-09-08,ETH,337.48,337.39,0.0267,bykaranteli.com
2020-09-09,BTC,10224.56,10219.2,0.0525,bykaranteli.com
2020-09-09,ETH,351.1,350.85,0.0713,bykaranteli.com
2020-09-10,BTC,10343.23,10336.87,0.0615,bykaranteli.com
